"Pending Reviews","Pending Reviews"
"Pending Reviews RSS","Pending Reviews RSS"
"There are %d reviews waiting to be approved. Click here to see the %s.","There are %d reviews waiting to be approved. Click here to see the %s."
"There is a review of %s waiting to be approved. Click here to read %s.","There is a review of %s waiting to be approved. Click here to read %s."
"Show notification","Show notification"
"Send notification","Send notification"
"Mail to","Mail to"
"Mail Template","Email Template"
"Store email","Store email"
"Notification toolbar will be displayed if there is pending reviews. Default: Yes","Notification toolbar will be displayed if there are pending reviews. Default: Yes"
"You can specify multiple recipients. Comma separated. For example: admin1@example.com, admin2@example.com","You can specify multiple recipients. Comma separated. For example: admin1@example.com, admin2@example.com"
"Notification will be send to e-mail if new review is placed. Default: No","Notification will be send to e-mail if new review is placed. Default: No"
"Review Notify Options","Review Notify Options"
"Module options available in System -> Configuration -> Catalog -> Product Reviews","Module options available in System -> Configuration -> Catalog -> Product Reviews"
"Unable to post the review.","Unable to post the review."
"Use Antispam","Use Antispam"
"Make review posting harder for automatic spammers","Make review posting harder for automatic spammers"
